word,count
beowulf,293
1,152
one,149
hrothgar,144
battle,141
grendel,118
war,109
king,105
gutenberg,98
folk,93
2,92
b,92
project,91
sword,90
hero,87
life,84
hall,81
would,80
lord,80
son,78
thou,78
hand,73
heroes,72
h,71
higelac,71
spirit,71
many,70
er,69
5,68
shall,68
death,67
men,65
thee,65
3,64
old,64
work,63
people,61
earth,60
man,59
long,58
may,57
gold,57
30,56
40,56
sea,55
god,55
well,55
jewels,55
10,54
dragon,54
treasure,54
35,53
father,53
building,51
20,51
prince,51
15,50
great,49
fire,49
25,49
scyldings,48
warriors,48
e,46
land,46
came,46
danes,45
45,44
sorrow,43
us,43
monster,43
etc,43
armor,43
4,43
50,43
neath,43
till,43
thy,43
hoard,42
see,42
heard,42
60,41
famous,41
ever,41
read,40
brave,39
though,39
must,39
body,39
geatmen,39
suggests,39
twas,39
55,38
works,38
head,37
far,37
ring,37
mooded,37
weapon,37
wiglaf,36
early,36
